no_pkk,no_pkk_inaportnet,vessel_name_spb,company_name,name_process_code,gt,loa,name_branch,departure_date,nomor_pkk,nomor_spb,vessel_name_wasop,waktu_tolak,NAMA KAPAL,GT,LOA,DARI,KE,PERUSAHAAN,NO SPK PANDU,NO PKK INAPORTNET,NO PKK,NAMA PANDU,MULAI PANDU,SELESAI PANDU,KAPAL TUNDA 1,KAPAL TUNDA 2,KAPAL TUNDA 3,MULAI TUNDA,SELESAI TUNDA,ZONA,STATUS NOTA
5N8K57000001,PKK.DN.IDKBU.2511.000108,LIANA LXXX,PT. ALWIESTA NIAGA MANDIRI,Realization,4362.0,100.58,KOTABARU,2025-11-05 02:00,nan,,,,LIANA LXXX,4362,100.58,REDE TARJUN,STS TG PEMANCING,PT. ALWIESTA NIAGA MANDIRI,IDKBU-PLD-SPK.2511.012342,PKK.DN.IDKBU.2511.000108,5N8K57000001,ARI AGUS PRASETYO,22-11-2025 22:18,22-11-2025 22:39,,,,,,STS KOTABARU,BELUM VERIFIKASI
OB2V57000005,PKK.DN.IDKBU.2508.000464,LIANA L,PT. ALWIESTA NIAGA MANDIRI,Realization,3351.0,91.44,KOTABARU,2025-08-20 06:00,nan,,,,LIANA L,3351,91.44,REDE TARJUN,STS TG PEMANCING,PT. ALWIESTA NIAGA MANDIRI,IDKBU-PLD-SPK.2511.012348,PKK.DN.IDKBU.2508.000464,OB2V57000005,ARI AGUS PRASETYO,22-11-2025 21:24,22-11-2025 21:45,,,,,,STS KOTABARU,BELUM VERIFIKASI
SDYA57000004,PKK.DN.IDKBU.2508.000627,SAMTIMAS 02,PT. ALWIESTA NIAGA MANDIRI,Realization,4170.0,100.58,KOTABARU,2025-08-25 02:00,nan,,,,SAMTIMAS 02,4170,100.58,REDE TARJUN,STS TG PEMANCING,PT. ALWIESTA NIAGA MANDIRI,IDKBU-PLD-SPK.2511.012355,PKK.DN.IDKBU.2508.000627,SDYA57000004,ARI AGUS PRASETYO,22-11-2025 22:19,22-11-2025 22:40,,,,,,STS KOTABARU,BELUM VERIFIKASI
PZTW57000005,PKK.DN.IDKBU.2508.000715,SAMTIMAS 05,PT. ALWIESTA NIAGA MANDIRI,Realization,4170.0,100.58,KOTABARU,2025-08-28 02:00,nan,,,,SAMTIMAS 05,4170,100.58,REDE TARJUN,STS TG PEMANCING,PT. ALWIESTA NIAGA MANDIRI,IDKBU-PLD-SPK.2511.012341,PKK.DN.IDKBU.2508.000715,PZTW57000005,ARI AGUS PRASETYO,22-11-2025 22:06,22-11-2025 22:27,,,,,,STS KOTABARU,BELUM VERIFIKASI
NY6G57000001,PKK.DN.IDSTU.2505.000223,RMN 3341,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,4338.0,96.56,KOTABARU,2025-05-10 15:00,nan,,,,,,,,,,,nan,,,,,,,,,,,
CBXX57000001,PKK.DN.IDSTU.2503.000187,CB 123,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,5184.0,109.44,KOTABARU,2025-03-07 15:55,nan,,,,,,,,,,,nan,,,,,,,,,,,
OOPL57000001,PKK.DN.IDSTU.2407.000065,RALINE 11,PT. BATULICIN NUSANTARA MARITIM Tbk,Request PPKB,4170.0,100.58,KOTABARU,2025-06-30 00:48,nan,,,,,,,,,,,nan,,,,,,,,,,,
5JLK57000001,PKK.DN.IDSTU.2501.000623,RMN 3342,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,4338.0,96.56,KOTABARU,2025-01-29 15:55,nan,,,,,,,,,,,nan,,,,,,,,,,,
5GY457000002,PKK.DN.IDSTU.2510.000709,CB 121,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,5184.0,109.44,KOTABARU,2025-10-30 15:00,nan,,,,,,,,,,,nan,,,,,,,,,,,
ISA357000001,PKK.DN.IDSTU.2508.000438,ISA 3301,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,4333.0,96.36,KOTABARU,2025-08-23 15:00,nan,,,,,,,,,,,nan,,,,,,,,,,,
