active,amount,branch_id,created_at,currency_name,description,end_date,id,id_currency,index,judul_ba,kode_kepil,loa_description,location_name,name_branch,start_date,status,timezones,total,total_page,uper_multiplication,url_file
1,475000,17,2024-01-16 12:05,Rupiah,"Rp. di dermaga, loa 70 > 150",2030-12-31 23:59,1800,1,43,,PNK01,LOA 70 > 150,NILAM UTARA,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,475000,17,2024-01-16 12:05,Rupiah,"Rp. di dermaga, loa 70 > 150",2030-12-31 23:59,1794,1,44,,PNK01,LOA 70 > 150,KALIMAS-DERMAGA KLM,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,475000,17,2024-01-16 12:05,Rupiah,"Rp. di dermaga, loa 70 > 150",2030-12-31 23:59,1793,1,45,,PNK01,LOA 70 > 150,KALIMAS-DERMAGA KM,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,475000,17,2024-01-16 12:05,Rupiah,"Rp. di dermaga, loa 70 > 150",2030-12-31 23:59,1792,1,46,,PNK01,LOA 70 > 150,LAMONG CURAH KERING,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,475000,17,2024-01-16 12:05,Rupiah,"Rp. di dermaga, loa 70 > 150",2030-12-31 23:59,1786,1,47,,PNK01,LOA 70 > 150,MIRAH SELATAN,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,475000,17,2024-01-16 12:05,Rupiah,"Rp. di dermaga, loa 70 > 150",2030-12-31 23:59,1789,1,48,,PNK01,LOA 70 > 150,PINDA ASEN,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,1150000,17,2024-01-16 11:52,Dollar,"US$. di dermaga, loa 150 > 250",2030-12-31 23:59,1715,2,49,,PNK01,LOA 150 > 250,LAMONG OCEAN GOING,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,675000,17,2024-01-16 11:52,Rupiah,"Rp. di dermaga, loa => 250",2030-12-31 23:59,1738,1,50,,PNK01,LOA >= 250,TELUK LAMONG - PETIKEMAS DOMESTIK,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,1350000,17,2024-01-16 11:52,Dollar,"US$. di dermaga, loa => 250",2030-12-31 23:59,1761,2,51,,PNK01,LOA >= 250,TELUK LAMONG - PETIKEMAS DOMESTIK,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,1150000,17,2024-01-16 11:52,Dollar,"US$. di dermaga, loa 150 > 250",2030-12-31 23:59,1716,2,52,,PNK01,LOA 150 > 250,TELUK LAMONG - PETIKEMAS DOMESTIK,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
