no_pkk,no_pkk_inaportnet,vessel_name,company_name,name_process_code,gt,loa,name_branch,departure_date
CA2425000011,,CAHAYA ABADI 202,"PELAYARAN GEMA SENA TEKAD SAKTI,",Request PPKB,953.0,58.0,BANJARMASIN,2025-09-30T14:00:00.000Z
S27525000027,PKK.DN.IDBDJ.2509.002937,SOEKAWATI 2725,"SAUFA KHALID MARITIM SAMUDERA, PT",Request PPKB,2137.0,82.3,BANJARMASIN,2025-09-23T09:06:00.000Z
LUV825000022,PKK.DN.IDBDJ.2509.002935,RMN 335,"KARTIKA SAMUDRA ADIJAYA, PT",Realization,3100.0,87.78,BANJARMASIN,2025-09-24T00:00:00.000Z
54UN25000020,PKK.DN.IDBDJ.2509.002933,SINAR PAJAJARAN,"PERUSAHAAN PELAYARAN NUSANTARA PANURJWAN, PT",Request PPKB,7977.0,99.8,BANJARMASIN,2025-09-25T15:00:00.000Z
S7YU83000004,PKK.DN.IDSMQ.2509.000381,HARMONI SUKSES 261,"PRIMA KARYA MARITIM INDONESIA, PT",Realization,2160.0,79.25,SAMPIT,2025-09-29T16:00:00.000Z
6XWA25000066,PKK.DN.IDBDJ.2509.002932,TAMA 3076,"MULTI LINE BORNEO, PT",Realization,3492.0,91.44,BANJARMASIN,2025-09-25T15:55:00.000Z
YD5P25000061,PKK.DN.IDBDJ.2509.002929,BORNEO 3103,"BORNEO SAMUDRA PERKASA, PT",Realization,3458.0,94.49,BANJARMASIN,2025-09-22T19:00:00.000Z
555A23000137,PKK.DN.IDBJU.2509.000150,ARKAREGA,"BARRU SAMUDERA TIMUR, PT",Realization,896.0,48.3,TANJUNG WANGI,2025-09-23T12:00:00.000Z
P0IL23000029,PKK.DN.IDBJU.2509.000149,PRIMA OIL,"PELAYARAN NASIONAL INDONESIA (PERSERO), PT",Request PPKB,1577.0,70.05,TANJUNG WANGI,2025-10-07T08:00:00.000Z
MB0009000009,PKK.DN.IDSRG.2509.000281,MINAS BARU,"SALAM PACIFIC INDONESIA LINES, PT",Request PPKB,5526.0,119.99,TANJUNG EMAS,2025-09-24T20:00:00.000Z
I8EJ25000018,,LMN 313,PT Immanu Sukses Bersama,Realization,3341.0,91.5,BANJARMASIN,2025-09-22T17:00:00.000Z
6PVS25000026,PKK.DN.IDBDJ.2509.002920,CAKRAWALA XXI 2023,SARANA MARITIM SEJAHTERA PT,Realization,4338.0,100.58,BANJARMASIN,2025-09-22T22:00:00.000Z
